FILENAME,URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label
7990374.txt,https://sites.google.com/view/ptss18/?tm,39,sites.google.com,16,0,com,53.17377732,0.583333333,0.5229071,0.054947023,3,1,0,0,0.0,23,0.59,2,0.051,0,1,0,5,0.154,1,2,48,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475317.txt,https://www.riverapes.com,24,www.riverapes.com,17,0,com,100.0,1.0,0.5229071,0.064981474,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,236,9381,1,riverapes,100.0,100.0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,7,7,7,40,0,46,1
8009459.txt,https://web-flsacct.dyndns.berlin/?ghost,39,web-flsacct.dyndns.berlin,25,0,berlin,31.36837121,0.444444444,9.4e-05,0.050445597,6,1,0,0,0.0,26,0.667,0,0.0,0,1,0,4,0.128,1,16,286,1,web-flsacctdyndns?ghos,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
548544.txt,https://www.findmyproperty.com,29,www.findmyproperty.com,22,0,com,100.0,1.0,0.5229071,0.053183197,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,775,822,1,findmyproperty,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,22,6,14,32,4,39,1
510769.txt,https://www.dudafresh.com,24,www.dudafresh.com,17,0,com,100.0,1.0,0.5229071,0.054067314,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,1263,1347,1,dudafresh,100.0,100.0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,79,6,14,62,0,59,1
8129595.txt,https://www.loganpowerpoles.com/jp/webmail.php?_user=aaaa@example.jp,68,www.loganpowerpoles.com,23,0,com,23.76588793,1.0,0.5229071,0.054614702,3,1,0,0,0.0,47,0.691,0,0.0,1,1,0,7,0.132,1,86,25551,1,loganpowerpolesjpwebmailphp?_user=aaaa@examplejp,0.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,5,0,0,5,0
709293.txt,https://www.toysnbricks.com,26,www.toysnbricks.com,19,0,com,100.0,1.0,0.5229071,0.057846833,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1178,9615,1,toysnbricks,100.0,100.0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,30,7,12,201,0,244,1
392227.txt,https://www.nersc.no,19,www.nersc.no,12,0,no,100.0,1.0,0.0023289,0.065872154,2,1,0,0,0.0,6,0.316,0,0.0,0,0,0,1,0.053,1,688,7183,1,ersc,80.0,80.0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,16,6,4,72,0,23,1
554528.txt,https://www.paducahky.gov,24,www.paducahky.gov,17,0,gov,100.0,1.0,0.0033282,0.046077783,3,1,0,0,0.0,11,0.458,0,0.0,0,0,0,1,0.042,1,704,11087,1,paducahky,100.0,100.0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,26,3,15,143,0,27,1
8139507.txt,https://cf-ipfs.com/ipfs/qma3wgbldpg8qgzm41cer7bpq9vxffy31yzswbhirevtqd/sharepoint.html,87,cf-ipfs.com,11,0,com,11.61272232,0.714285714,0.5229071,0.036382209,3,0,0,0,0.0,65,0.747,8,0.092,0,0,0,6,0.069,1,2,143,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
